Arch,Size,Time (s)
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 2, 0.000336261
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 4, 0.000438695
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 8, 0.00055687
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 16, 0.000579732
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 32, 0.000634505
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 64, 0.000638643
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 128, 0.000773223
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 256, 0.00116137
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 512, 0.00111952
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 1024, 0.00148977
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 2048, 0.00221323
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 4096, 0.00279553
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 8192, 0.00443866
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 16384, 0.00760985
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 32768, 0.00954254
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 65536, 0.0139742
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 131072, 0.0208099
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 262144, 0.0398875
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 524288, 0.0841508
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 1048576, 0.177339
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 2097152, 0.378333
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 4194304, 0.81957
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 8388608, 1.77719
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 16777216, 3.84117
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 33554432, 8.2966
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 67108864, 17.913
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 134217728, 38.5801
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 268435456, 82.758
Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz, 536870912, 177.156
Intel(R) UHD Graphics P630, 2, 0.000628066
Intel(R) UHD Graphics P630, 4, 0.000089531
Intel(R) UHD Graphics P630, 8, 0.000184837
Intel(R) UHD Graphics P630, 16, 0.000182369
Intel(R) UHD Graphics P630, 32, 0.000187657
Intel(R) UHD Graphics P630, 64, 0.000712894
Intel(R) UHD Graphics P630, 128, 0.000793751
Intel(R) UHD Graphics P630, 256, 0.000845565
Intel(R) UHD Graphics P630, 512, 0.000820107
Intel(R) UHD Graphics P630, 1024, 0.000902489
Intel(R) UHD Graphics P630, 2048, 0.000904852
Intel(R) UHD Graphics P630, 4096, 0.00102598
Intel(R) UHD Graphics P630, 8192, 0.00123933
Intel(R) UHD Graphics P630, 16384, 0.00157506
